name,iata_code,iso_region,type
East 34th Street Heliport,TSS,US-NY,heliport
New York Skyports Inc Seaplane Base,QNY,US-NY,seaplane_base
Earl Henry Airport,BWL,US-OK,small_airport
Yes Bay Lodge Seaplane Base,WYB,US-AK,seaplane_base
Center Island Airport,CWS,US-WA,small_airport
Tatitlek Airport,TEK,US-AK,small_airport
Pine Island Airport,DUF,US-NC,small_airport
Stuart Island Airpark,SSW,US-WA,small_airport
Fort Bragg Airport,FOB,US-CA,small_airport
Port of Poulsbo Marina Moorage Seaplane Base,PUL,US-WA,seaplane_base
Century City Heliport,CCD,US-CA,heliport
Meyers Chuck Seaplane Base,WMK,US-AK,seaplane_base
Maxson Airfield,AXB,US-NY,small_airport
Reese Airpark,REE,US-TX,small_airport
Waldron Airstrip,WDN,US-WA,small_airport
Whale Pass Seaplane Float Harbor Facility,WWP,US-AK,seaplane_base
Chuathbaluk Airport,CHU,US-AK,small_airport
Ugashik Airport,UGS,US-AK,small_airport
Marlboro Airport,MXG,US-MA,small_airport
Philadelphia Seaplane Base,PSQ,US-PA,seaplane_base
Levelock Airport,KLL,US-AK,small_airport
Saginaw Seaplane Base,SGW,US-AK,seaplane_base
Tuntutuliak Airport,WTL,US-AK,small_airport
Twin Hills Airport,TWA,US-AK,small_airport
Chignik Lake Airport,KCQ,US-AK,small_airport
Adado Airport,AAD,SO-GA,small_airport
Atkamba Airport,ABP,PG-WPD,small_airport
Abau Airport,ABW,PG-CPM,closed
Andorra la Vella Heliport,ALV,AD-07,heliport
Andakombe Airport,ADC,PG-EHG,small_airport
El Daein Airport,ADV,SD-DE,small_airport
Jebel Ali Seaplane Base,DJH,AE-DU,seaplane_base
Adareil Airport,AEE,SS-23,small_airport
Algeciras Heliport,AEI,ES-CA,heliport
Aseki Airport,AEK,PG-MPL,small_airport
Ar Horqin Airport,AEQ,CN-15,small_airport
OrÅ«zgÄn Airport,URZ,AF-ORU,small_airport
Salerno Airport,OLR,AF-KHO,small_airport
Kondavattavana Tank Seaplane Base,AFK,LK-5,seaplane_base
Afore Airstrip,AFR,PG-NPP,small_airport
Afutara Aerodrome,AFT,SB-ML,small_airport
Ulawa Airport,RNA,SB-MK,small_airport
